,X_r,Decision,best_r_quality,top_quality,OC,mean_input,P5_input,P95_input,KG,DL,HP_names,HP_vars,fp,file_number,results_name
0,[99.99997761],,0,0,-1.2228114287489467,[39.33721824 29.91656482],[35.93245077  6.14516221],[43.70342486 70.75441804],"[array([[99.99999959, 34.74208993, 27.52113231]]), 9.297384209971948e-05]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[4.12698848e+00 8.94873793e+03 2.89147350e+01 4.21473527e+04
 1.27595824e-01]",5.0,1,newsvendor_unkwon_noise_RESULTS
1,[8.18138345],,0,0,0.011346637202711741,[38.49987546 30.65015603],[34.1478662   8.38896059],[41.39309716 65.27915928],"[array([[18.39691078, 38.21898073,  9.83456132]]), 0.03676998318828832]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[1.55312596 0.36910392 1.28695198 0.84149454 0.15462131],5.0,1,newsvendor_unkwon_noise_RESULTS
2,[18.39690606],,0,0,0.22803846036748945,[39.24149104 43.38849021],[35.21110209  7.67393859],[42.40779089 94.4611882 ],"[array([[46.84790581, 38.25513348, 17.66338612]]), 0.012038200868388619]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[1.44375665 0.81858694 0.25597377 0.5074592  0.12601177],5.0,1,newsvendor_unkwon_noise_RESULTS
3,[18.39691522],,0,0,0.22803865461730763,[39.00982434 40.34755455],[34.91355617  8.90268273],[ 43.31696427 103.24662492],"[array([[ 4.42632615, 37.59260615, 17.03089977]]), 0.00811620052328221]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[1.45120996 0.81858694 0.25597377 0.5074592  0.01000113],5.0,1,newsvendor_unkwon_noise_RESULTS
4,[18.39691522],,0,0,0.22803865461730763,[39.04118401 44.2697263 ],[35.75297195  7.33304675],[ 42.30476394 122.51108181],"[array([[46.8479679 , 39.6926652 , 13.19044223]]), 0.017560072131523264]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[1.23109084 0.80820513 0.23685328 1.73331832 0.12608129],5.0,1,newsvendor_unkwon_noise_RESULTS
