,X_r,Decision,best_r_quality,top_quality,OC,mean_input,P5_input,P95_input,KG,DL,HP_names,HP_vars,fp,file_number
0,[38.03910392],,73.49920583094026,73.89393269216568,0.394726861225422,[40.2413341   9.73140035],[38.27931137  2.94244346],[41.91603382 26.16963929],"[array([[27.43999497, 48.6682505 ,  5.10529553]]), 1.589187730666339]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[1.79359136e+04 3.90398837e+01 4.29895923e+01 6.66666667e+01
 9.99992109e-03]",6,2
1,[38.49767748],,73.74665111947911,73.89393269216568,0.14728157268656616,[40.45362447 10.77777302],[38.74425147  3.1081201 ],[42.36484642 28.07419642],"[array([[42.37722353, 23.96925643, 12.32176037]]), 0.2851446357860823]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[1.79359136e+04 4.08006475e+01 4.39248651e+01 6.66666667e+01
 9.99873382e-03]",6,2
2,[34.11670093],,68.0406068117549,73.89393269216568,5.853325880410779,[40.49111547  8.73093471],[38.18836701  2.54022588],[42.74010976 21.38300753],"[array([[45.61490287, 48.24934033,  7.13212247]]), 0.21238163356366613]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[1.42645660e+04 3.67699758e+01 4.23843353e+01 6.66666667e+01
 2.50050000e+00]",6,2
3,[37.25371181],,72.8272258617985,73.89393269216568,1.0667068303671812,[40.40687053  8.39872326],[38.24736767  2.7485077 ],[42.57309874 17.92563911],"[array([[57.03466153, 47.86607191,  8.18461497]]), 0.03251050965768343]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[1.42645660e+04 3.38405962e+01 2.97258039e+01 6.66666667e+01
 1.00022624e-02]",6,2
4,[37.11269477],,72.6767293875278,73.89393269216568,1.2172033046378772,[40.55892449  7.86644095],[39.0372648   2.47683061],[42.18909596 20.99132921],"[array([[24.6455624 , 41.21364463,  5.10499047]]), 0.06351594407868788]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[1.17398649e+04 3.23255366e+01 2.94530294e+01 6.66666667e+01
 2.59759180e-01]",6,2
5,[37.67056287],,73.22064413293009,73.89393269216568,0.6732885592355871,[40.43730692  9.06757575],[39.05518212  3.13137796],[42.54752701 20.60088852],"[array([[68.6687394 , 52.81474324, 10.11441073]]), 0.029612520883958382]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[1.12119704e+04 3.02669079e+01 3.08851529e+01 6.66666667e+01
 2.50050000e+00]",6,2
