,X_r,Decision,best_r_quality,top_quality,OC,mean_input,P5_input,P95_input,KG,DL,HP_names,HP_vars,fp,file_number
0,0,,0,0,0,[0.43308557],[0.20092814],[0.79472918],"[array([[1.30064823, 0.98902776, 1.79028635, 0.38518924]]), 0.12718731658329802]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[0.8315465  1.33333333 1.33332306 0.29272265 0.5945592  2.5005    ],5.0,1
1,0,,0,0,0,[0.43418789],[0.1871013],[0.73541709],"[array([[0.22202082, 1.99992508, 0.81927682, 0.44512811]]), 0.11786681453662784]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[0.7289471  1.33333297 0.74658101 0.34760043 0.55890423 2.5005    ],5.0,1
2,0,,0,0,0,[0.43468125],[0.19506928],[0.73521155],"[array([[1.86490113, 1.8154812 , 1.6680877 , 0.4545582 ]]), 0.11620858541694333]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[0.71708305 1.33333333 0.88560788 0.40471935 0.59026942 2.5005    ],5.0,1
3,0,,0,0,0,[0.43189751],[0.17594302],[0.71276896],"[array([[0.11701963, 0.25826263, 1.99999125, 0.4503393 ]]), 0.10197487042546155]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[0.69132638 1.33333323 1.04937246 0.37315927 0.54295071 2.5005    ],5.0,1
