,KG_Mc_Input
0,22.257670402526855
1,17.61653780937195
2,19.29771637916565
3,22.966018676757812
4,22.75213360786438
5,21.136749505996704
6,21.536834955215454
7,24.136695384979248
8,26.637476444244385
9,29.026057720184326
10,27.65687918663025
11,32.5119788646698
12,29.236473083496094
13,34.954476833343506
14,35.089876890182495
15,36.13294768333435
16,33.26563382148743
