,DeltaLoss
0,88.18324518203735
1,75.99960947036743
2,84.43584203720093
3,92.97886061668396
4,95.42094421386719
5,102.38544368743896
6,94.6585214138031
7,103.31936311721802
8,108.91166663169861
9,103.20534992218018
10,108.99820375442505
11,112.9141194820404
12,101.02046585083008
13,112.5567135810852
14,107.57366824150085
15,107.66598176956177
