,X_r,Decision,best_r_quality,top_quality,OC,mean_input,P5_input,P95_input,KG,DL,HP_names,HP_vars,fp,file_number,results_name
0,[5.26333185e-02 1.00569534e-10 1.99997192e+00],,0,0,0.5063348396288291,[0.51612371],[0.24183853],[0.95636145],"[array([[0.43991307, 1.99999999, 0.98453074, 0.43076984]]), 5.8507794336054575e-05]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[5.25129994e-01 1.03916988e+04 1.19174050e+00 1.00178996e+04
 5.18959289e-01 3.22254536e-02]",5.0,51,Production_line_Fixed_Proportion_
1,[1.53783948e-06 1.99999959e+00 1.02260223e+00],,0,0,0.5063348396288291,[0.56666052],[0.2445717],[0.94367852],"[array([[0.06040004, 1.99565536, 1.99983522, 0.49758554]]), 0.12154612550582472]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[7.13245614e-01 1.85070488e+00 1.91223412e+00 5.87329232e-01
 1.50403138e+00 1.00003317e-04]",5.0,51,Production_line_Fixed_Proportion_
2,[2.10528002e-06 1.99999879e+00 1.06161990e+00],,0,0,0.5063348396288291,[0.51955129],[0.25821794],[0.86649267],"[array([[3.42763279e-07, 8.86811878e-01, 8.20277861e-01, 4.55932761e-01]]), 0.02635570427945713]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[5.13229056e-01 1.65452366e+00 5.16689519e+00 1.27362834e+04
 2.88042355e-01 1.00000000e-04]",5.0,51,Production_line_Fixed_Proportion_
3,[1.99998993e+00 3.78869426e-11 3.26872149e-01],,0,0,0.5063348396288291,[0.48687088],[0.19777579],[0.90672712],"[array([[0.45599075, 0.04353131, 1.06006381, 0.44552947]]), 0.06347738777886117]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[7.11599079e-01 1.60712431e+04 6.46741088e-01 1.62056256e+04
 4.70249634e-01 1.00000000e-04]",5.0,51,Production_line_Fixed_Proportion_
