,X_r,Decision,best_r_quality,top_quality,OC,mean_input,P5_input,P95_input,KG,DL,HP_names,HP_vars,fp,file_number,results_name
0,[0.05991754 1.99999923 1.53901763],False,0.0,0,0.0,[0.32096575],[0.05405403],[0.70526657],"[array([[1.94816334, 1.89778324, 0.06500044, 0.4255811 ]]), 0.28860204722518973]","[0, 0.029071332465129114]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[7.62428616e-01 8.00000000e-01 3.64314512e-01 7.99999976e-01
 8.00000000e-01 1.34982313e-09]",2,6,Production_line_BICO_RESULTS
1,[3.69498770e-06 1.99999996e+00 1.35240789e+00],False,0.0,0,0.0,[0.31069032],[0.08210616],[0.70258154],"[array([[1.99296528e+00, 1.21311808e-05, 1.84032597e-04, 9.04963337e-02]]), 0.29026296743740887]","[0, 0.02631835618289824]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[8.55862502e-01 8.00000000e-01 4.38782973e-01 7.99999927e-01
 8.00000000e-01 5.30875709e-21]",2,6,Production_line_BICO_RESULTS
2,[2.24604277e-08 1.96393456e+00 1.08119211e+00],False,-1.7607462173744683,,-1.7607462173744683,[0.31556854],[0.12084884],[0.55518049],"[array([[0.05870126, 1.99652516, 0.00442241, 0.39352366]]), 0.2974638891553345]","[0, 0.024634210269132376]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[9.73482382e-01 7.99999999e-01 5.02693603e-01 7.99999981e-01
 8.00000000e-01 6.51291632e-09]",2,6,Production_line_BICO_RESULTS
