,X_r,OC,KG,DL,HP_names,HP_vars,file_number
0,[33.39820446],[[7.20078792]],"[array([[13.88947944, 34.9256108 ]]), 38.76328044454695]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[1.63360500e+04 4.63815951e+01 5.17255251e+01 1.38003812e-04],151
1,[30.54496911],[[12.80771046]],"[array([[30.21853377, 33.69437494]]), 46.372368991332955]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[1.63362961e+04 5.40001358e+01 4.62138392e+01 4.46677992e-06],151
2,[31.90720038],[[10.10332812]],"[array([[99.98710881, 41.10044473]]), 63.099162671455744]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[8680.49120878   31.08802963   38.12780795   58.48102805],151
3,[30.32495693],[[13.24636328]],"[array([[30.32889715, 87.07628609]]), 54.57577344715524]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[13461.85657361    44.93921933    42.30823427   112.50562659],151
4,[30.43531403],[[13.02629765]],"[array([[30.42411416, 91.98389016]]), 55.52123454289647]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[13342.23393612    45.16368333    41.83993486    86.98226671],151
5,[32.62486797],[[8.69431013]],"[array([[55.5964792 , 46.08719483]]), 69.54107964341063]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[8.24656151e+03 2.67577517e+01 3.60808007e+01 1.00000000e-03],151
6,[33.48892707],[[7.02799502]],"[array([[33.47926387, 91.08111624]]), 59.491164173524254]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[12963.62878784    45.53989435    38.21334819   193.87628917],151
7,[33.56470686],[[6.884139]],"[array([[33.59291069,  4.49277486]]), 60.04117516194537]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[12773.73175615    45.53913271    37.97035685   168.76330294],151
8,[33.45012327],[[7.10182768]],"[array([[33.45037296, 16.76637842]]), 60.3117512435174]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[12650.48072857    46.59771081    38.23791473   158.53983227],151
9,[33.52402698],[[6.96130798]],"[array([[33.50967378, 18.31125154]]), 60.64397608856787]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[12640.80659829    46.62964424    38.44167503   141.53122249],151
