,X_r,OC,KG,DL,HP_names,HP_vars,file_number
0,[43.85445456],[[6.3079923]],"[array([[58.07759755, 31.59474102]]), 61.302701048421184]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[2.16758907e+04 6.24010056e+01 4.59298893e+01 6.02897570e-05],1156
1,[37.66387487],[[0.67819233]],"[array([[2.05851872e-05, 4.92963589e+01]]), 55.73660512101799]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[13126.96368957    44.641901      44.58274081    22.5751944 ],1156
2,[38.81489331],[[0.04451412]],"[array([[88.89975566, 38.38249017]]), 54.00460622756555]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[13099.28164941    48.54904504    46.46613965    38.62779662],1156
3,[38.55009654],[[0.12591473]],"[array([[38.69261583, 72.96770972]]), 56.3363648603764]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[13090.20814655    49.89254311    38.49471243    23.5190717 ],1156
4,[38.53042316],[[0.13356958]],"[array([[38.55350885, 33.58473571]]), 56.12807551852322]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[15870.15653506    53.92372864    42.05544779    39.84150985],1156
5,[38.43070951],[[0.17572472]],"[array([[49.87214731, 35.46776214]]), 50.954934306989685]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[1.17647327e+04 5.61187327e+01 2.49128497e+01 1.00000000e-03],1156
6,[39.48847254],[[0.02580174]],"[array([[39.50348748, 14.77688605]]), 54.36647584602369]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[1.17647338e+04 5.25237818e+01 2.67907185e+01 3.25487723e+00],1156
7,[38.67895258],[[0.08123939]],"[array([[38.66618705, 81.25550752]]), 55.03806504780759]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[17586.61022782    55.10589562    44.298977      22.17386889],1156
8,[38.92706883],[[0.02238343]],"[array([[38.92313237, 47.29851226]]), 55.80522077483377]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[15181.68428501    50.23900248    42.40143048    16.63033836],1156
9,[38.80254244],[[0.0474047]],"[array([[38.80560384, 10.50360426]]), 58.20035100193481]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[14210.95971087    48.90162888    42.68553074    22.99608154],1156
10,[38.4604277],[[0.16257707]],"[array([[38.45720976, 49.86313753]]), 58.05142722198035]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[16027.09875048    53.32196896    43.08668567    27.86187187],1156
11,[38.61476375],[[0.1023048]],"[array([[38.63175708, 29.91112886]]), 58.81716748481106]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[14806.61932821    51.00846339    42.22172287    23.87851857],1156
12,[38.57510228],[[0.11650236]],"[array([[38.59870577, 21.52164045]]), 57.81578814492373]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[15231.03771619    51.60848289    42.76632573    22.69844017],1156
13,[37.81510142],[[0.55522703]],"[array([[37.83312466, 72.61063627]]), 58.51331663540266]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[21801.53797807    59.37239409    47.04733194    55.27673442],1156
14,[37.8615696],[[0.51970737]],"[array([[37.86719561,  3.44642732]]), 58.51506756063103]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[20819.60635263    58.44487338    46.27220905    51.82689063],1156
15,[38.14053064],[[0.32962339]],"[array([[38.17413835, 14.82300812]]), 58.08376930288806]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[17570.7874725     55.65179554    46.99180549    62.71146847],1156
16,[38.15850248],[[0.3187698]],"[array([[38.13871989, 28.99231358]]), 57.89644019277564]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[15874.7466381     54.11548098    45.31413727    60.57636768],1156
17,[38.27583759],[[0.25216031]],"[array([[38.25206624, 35.75453143]]), 58.283921765566674]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[15403.19155886    53.50063955    44.87980411    56.63588306],1156
