,X_r,OC,KG,DL,HP_names,HP_vars,file_number
0,[37.8503367],[[0.52819473]],"[array([[ 2.32406173, 40.23469343]]), 69.31215568902792]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[6.58184679e+03 3.48762651e+01 2.63725798e+01 9.99917159e-03],69
1,[43.90453547],[[6.43070292]],"[array([[44.99169063, 36.97125267]]), 65.45407043534604]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[6.58183923e+03 3.33698266e+01 2.48917115e+01 1.00318325e-02],69
2,[37.61760564],[[0.71802629]],"[array([[18.5929411 , 47.95220144]]), 61.2335624902646]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[6589.41524803   35.32425638   26.38934491   41.99404662],69
3,[39.47491191],[[0.02343515]],"[array([[99.27523186, 40.09848212]]), 58.86692220315803]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[6582.94060646   36.40894481   25.69912069   30.72374006],69
4,[39.21062293],[[4.23557294e-05]],"[array([[66.41827657, 29.12447477]]), 59.652700702110785]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[8203.27421744   40.96203381   26.10604723   15.50872531],69
5,[39.76727484],[[0.09993111]],"[array([[39.71445182, 63.92910083]]), 59.04462831316112]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[8202.60414227   42.58048427   27.38438864   18.37927112],69
6,[39.02852181],[[0.00881835]],"[array([[39.02586053, 39.359952  ]]), 58.52134224747453]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[10487.41128627    47.35999003    32.22891204    47.12014701],69
7,[38.04321061],[[0.39135928]],"[array([[38.04094029, 43.91469825]]), 63.36901041158394]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[11077.98500654    47.53295675    33.73676488   105.73753785],69
8,[38.26529957],[[0.25783893]],"[array([[38.28122031, 98.12951044]]), 64.97913737615922]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[10629.46046723    46.78590906    32.88142578    90.36245559],69
9,[37.98920449],[[0.42775295]],"[array([[37.97592357,  5.25158496]]), 64.73619768183767]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[10888.35306037    48.73048987    33.66541479    88.2540896 ],69
10,[38.04587503],[[0.38960298]],"[array([[38.0173861 , 38.50663637]]), 64.68160741459587]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[10596.10954719    48.52868576    33.30846701    77.41749686],69
11,[37.91787338],[[0.4781225]],"[array([[37.91352599, 40.24532195]]), 66.80630600086661]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[10558.26202318    48.21039998    33.07357972    79.45434215],69
12,[38.01566637],[[0.409732]],"[array([[38.03750052, 92.06112078]]), 68.51528960493425]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[10192.05291372    47.62235149    32.34735616    75.80986871],69
13,[37.88779552],[[0.50013832]],"[array([[37.89067268, 84.29255493]]), 68.06795514020668]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[10422.35633656    47.88060301    33.05492433    70.27813009],69
14,[37.93479868],[[0.46593567]],"[array([[37.94848673, 63.7926179 ]]), 68.16367654147275]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[10583.1248572     48.0571677     33.57264786    65.28853405],69
15,[38.01864019],[[0.40772942]],"[array([[38.01619976, 61.04493078]]), 68.2943867716878]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[10331.83274991    48.04757992    33.00163602    59.86444615],69
16,[38.077518],[[0.36902825]],"[array([[38.06496563, 37.43236559]]), 68.34297013756331]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[10138.01901651    48.0519135     32.54483211    55.26266289],69
17,[38.01301999],[[0.41151793]],"[array([[38.0225591 , 78.91056426]]), 69.10624071613603]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[10210.17517037    47.97984828    32.59933761    53.2200959 ],69
18,[38.12536419],[[0.33891611]],"[array([[38.11859453, 96.95894311]]), 69.3721876439888]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[10202.76782866    48.0773061     32.6046466     49.93546709],69
19,[38.07496475],[[0.37066898]],"[array([[38.06103422,  2.14729901]]), 69.19151021453071]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[10048.76183855    47.94905747    32.3660762     46.54268709],69
20,[38.00800239],[[0.41491406]],"[array([[38.00808649, 25.78404341]]), 68.99873401062578]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[9685.28547447   47.70052042   32.00357963   43.98846362],69
21,[38.36803469],[[0.20506466]],"[array([[38.3836896 , 17.25865364]]), 68.82828199661415]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[7073.5938485    44.17673829   25.54050429   56.23518278],69
22,[38.28219152],[[0.24876552]],"[array([[38.26634054, 25.34824893]]), 68.0339423477774]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[8071.15748978   46.15491308   28.7370028    67.42196848],69
23,[38.14812587],[[0.32501551]],"[array([[38.10821559,  1.31424881]]), 68.42292021750464]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[9165.04951382   47.44180518   31.39221216   77.49453273],69
24,[37.78785877],[[0.57655048]],"[array([[37.79571975, 51.96087191]]), 66.83544776140839]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[12413.9414135     49.4481791     36.50546964    99.62398397],69
25,[37.91426056],[[0.48074272]],"[array([[37.94581023, 60.85879426]]), 66.77621016202792]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[12471.0262736     49.68986556    36.49768183    96.08727051],69
26,[37.88903978],[[0.4992185]],"[array([[37.8859347 , 24.28092636]]), 66.54260559721146]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[12293.43317432    49.6775009     36.14078737    92.16509276],69
27,[38.16116904],[[0.31717403]],"[array([[38.18900702, 84.10224019]]), 66.27885601107205]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[10702.34805471    48.50118613    33.82329208   106.59283812],69
