,X_r,OC,KG,DL,HP_names,HP_vars,file_number
0,[33.33472431],[[7.32204555]],"[array([[12.07036824, 32.21550019]]), 73.28869605918091]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[2.06132057e+04 6.00261770e+01 4.14641378e+01 4.36528157e-04],1742
1,[36.75810705],[[1.63055275]],"[array([[ 0.45505534, 37.07985968]]), 65.26537309801594]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[15205.78411664    46.74785176    41.9762707    103.15598731],1742
2,[39.17172293],[[0.00022449]],"[array([[56.67900784, 25.01224694]]), 72.59409194383994]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[15197.05224351    45.48307498    38.98084031    15.55035334],1742
3,[32.03671742],[[9.84789875]],"[array([[21.21935464, 32.84754573]]), 62.00273959984586]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[1.51968941e+04 2.74047869e+01 5.59240820e+01 1.16379614e-02],1742
4,[38.16132571],[[0.31708037]],"[array([[60.01552165, 48.46513421]]), 67.24632580445109]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[7.26990470e+03 2.90426064e+01 3.14008753e+01 5.51471972e-01],1742
5,[38.76760547],[[0.05606585]],"[array([[38.80745228, 50.3983929 ]]), 86.84168690645106]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[7658.89101071   35.86136585   25.51263115  110.87862626],1742
