,X_r,OC,KG,DL,HP_names,HP_vars,file_number
0,[39.31935363],[[0.00444899]],"[array([[21.6789231 , 44.70559557]]), 59.11971322660367]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[4.17247071e+04 6.26492130e+01 3.98330288e+01 4.88853263e-04],1165
1,[39.93103418],[[0.16623636]],"[array([[61.30147171, 37.66402117]]), 57.48492666840737]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[4.17245517e+04 6.48131554e+01 4.12681389e+01 1.49684666e-05],1165
2,[30.14009194],[[13.61516279]],"[array([[ 1.22710697, 40.20673699]]), 50.42394008985548]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[1.67316239e+04 5.69752182e+01 1.93126428e+01 1.00000000e-03],1165
3,[31.63914575],[[10.63320404]],"[array([[ 7.36244327, 40.45025552]]), 49.08151242085928]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[1.67316233e+04 5.70742346e+01 1.99135287e+01 9.87683025e-03],1165
4,[35.41378271],[[3.58230762]],"[array([[35.41101031, 57.24945558]]), 47.93286193141561]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[36747.36251872    71.56141998    42.0566757     50.17715937],1165
5,[35.84895263],[[2.89415754]],"[array([[35.84699722, 75.71782359]]), 48.113173084140946]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[36747.3625391     69.93741876    43.02201951    45.29532343],1165
6,[36.2342108],[[2.32680592]],"[array([[36.21402624, 61.22827777]]), 47.958392552513295]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[36747.36003302    70.48427604    44.15452527    45.07182204],1165
7,[34.00345805],[[6.06095591]],"[array([[51.54719018, 42.56684994]]), 46.11209535343601]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[1.23654476e+04 5.35712864e+01 1.67353455e+01 1.00000000e-03],1165
8,[39.64886543],[[0.0624984]],"[array([[39.64941863, 54.03852708]]), 60.21712677092292]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[19334.24746082    50.15139697    35.94938137   150.06770961],1165
9,[39.82130004],[[0.11993818]],"[array([[39.83905138, 83.57452678]]), 61.23743024564441]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[19217.44884344    49.76046104    35.78250022   131.6337556 ],1165
10,[39.96890447],[[0.18397643]],"[array([[39.95442457, 21.19714855]]), 61.011478436435546]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[19217.41998221    49.71381085    36.35779855   121.80687273],1165
11,[40.62856501],[[0.63770239]],"[array([[40.63061493, 10.74014097]]), 56.889370029782995]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[20064.60639166    51.28140659    37.6246854    122.29769534],1165
12,[39.37749038],[[0.00979124]],"[array([[39.36047927, 10.16800465]]), 51.852274593784024]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[18738.47668987    53.09486016    40.38505052   190.79786118],1165
13,[39.51741513],[[0.03123554]],"[array([[39.51937604, 59.72055038]]), 52.381381599922186]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[18278.45473237    52.50056641    39.89507006   175.3726732 ],1165
14,[39.38896191],[[0.01109214]],"[array([[39.39357036, 85.19044638]]), 52.632538845326145]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[17900.51668292    52.41472803    39.01939097   162.18450474],1165
15,[39.67215462],[[0.06916531]],"[array([[39.64880886, 76.44351693]]), 53.866074689824764]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[17549.69849959    52.12876392    38.61867274   151.03029967],1165
16,[39.72338197],[[0.08502783]],"[array([[39.724814  , 82.24949891]]), 53.94225454728741]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[17316.61115289    51.70473538    38.41487261   140.78662791],1165
17,[39.88105435],[[0.14420806]],"[array([[39.88789059, 10.69069828]]), 54.55380283447367]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[17012.07597599    51.25276585    37.94150777   131.1294081 ],1165
