,X_r,OC,KG,DL,HP_names,HP_vars,file_number
0,[16.11329306],[[41.66480201]],"[array([[ 0.62486764, 46.1831077 ]]), 76.69502528497361]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[11578.00161069    69.13500895    35.09273181    42.33257705],1644
1,[34.69854443],[[4.80045392]],"[array([[19.51258117, 54.30965246]]), 66.42944442426031]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[8197.29199415   44.30667945   32.16283782   69.04109689],1644
2,[36.89231683],[[1.46796968]],"[array([[57.98656989, 39.1271722 ]]), 65.81226126233582]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[6695.78619045   37.00144281   27.48194819   30.5681113 ],1644
3,[40.48526015],[[0.5159717]],"[array([[40.4917776,  1.3406553]]), 67.59957734805407]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[8787.15455955   45.97628296   31.53935541  104.51064841],1644
4,[40.34890757],[[0.41202898]],"[array([[98.61078915, 11.03991757]]), 67.16069277520157]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[8709.0190498    46.69150936   32.04630349  101.55985476],1644
5,[40.79067276],[[0.79070627]],"[array([[40.77907488, 12.5199668 ]]), 62.55491666711484]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[13558.77780661    58.01961589    39.29513274   138.49695204],1644
6,[41.0324821],[[1.04871876]],"[array([[41.00246663, 60.95403227]]), 63.74489071776719]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[12419.1900721     57.98441593    34.89841441   120.51754211],1644
7,[41.43764182],[[1.55889667]],"[array([[41.4166015 , 98.97892581]]), 64.0683008545165]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[12353.0571328     59.55575444    32.8130898    109.38054041],1644
