,X_r,OC,KG,DL,HP_names,HP_vars,file_number
0,[36.82941302],[[1.5433168]],"[array([[10.15231826, 39.12932474]]), 56.58726060362619]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[7.38639834e+03 4.33152694e+01 2.67097017e+01 1.00000000e-02],1667
1,[39.20406546],[[8.11532465e-06]],"[array([[49.35797948, 37.75885492]]), 62.28749574612219]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[7.38640470e+03 3.94744870e+01 2.71585326e+01 1.00946279e-02],1667
2,[36.3830649],[[2.11957435]],"[array([[85.49581172, 34.46207527]]), 41.35895507018841]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[7861.11846184   49.04146315   28.27078145  114.79021566],1667
3,[35.03576221],[[4.21430351]],"[array([[35.03509076, 41.33033284]]), 45.111224385361304]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[16965.26479761    55.26920837    43.62060159   104.86498055],1667
4,[35.45447101],[[3.51606531]],"[array([[35.47050975, 47.55536935]]), 53.97282588573824]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[13373.0890014     49.0270885     39.92927841   136.08955072],1667
5,[35.73259739],[[3.07358045]],"[array([[35.74113258, 75.59671556]]), 55.18151501936891]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[14141.2715148     49.02783776    41.040484     106.40904844],1667
6,[35.74281279],[[3.05768797]],"[array([[35.71118493, 14.95659403]]), 55.35750968372382]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[15041.08013443    50.31195647    41.76112388    88.56865006],1667
7,[35.34221651],[[3.69970163]],"[array([[35.34992688,  6.63982532]]), 55.8304318740851]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[18172.70031677    53.0211727     44.79663371    83.00241766],1667
