,X_r,OC,KG,DL,HP_names,HP_vars,file_number
0,[39.67019276],[[0.06859076]],"[array([[ 2.00948683, 28.82332987]]), 57.58653930466133]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[2.35767153e+04 6.01757240e+01 4.81200460e+01 1.00000000e-03],1424
1,[38.27801189],[[0.25099608]],"[array([[67.53789233, 15.17496943]]), 63.83710664985796]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[2.51082982e+04 6.54613458e+01 4.72580320e+01 3.40163452e-05],1424
2,[37.91635499],[[0.47922285]],"[array([[37.89991733, 89.77321921]]), 62.93000975178841]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[3.02401730e+04 7.27748206e+01 4.86334560e+01 1.00000000e-03],1424
3,[38.11627076],[[0.34454612]],"[array([[38.10046092, 92.34570269]]), 59.62107529617824]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[2.60456993e+04 6.19695025e+01 5.22953488e+01 1.00000000e-03],1424
4,[38.02889052],[[0.4008619]],"[array([[38.02555839, 12.22445744]]), 57.81499641059032]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[2.23962437e+04 6.05365493e+01 4.92577090e+01 1.00000000e-03],1424
5,[37.88663224],[[0.50099892]],"[array([[37.92897407,  7.98996454]]), 63.55588569219317]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[5.73102965e+04 8.87701465e+01 4.73116262e+01 1.00000000e-03],1424
6,[38.13790206],[[0.33122516]],"[array([[38.12652263, 84.83468617]]), 63.614764077516085]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[3.19947506e+04 7.61452071e+01 4.85868719e+01 7.98565494e+00],1424
7,[52.56255919],[[31.57919317]],"[array([[52.6046832 , 36.82784961]]), 44.56343598619522]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[2.33775315e+04 3.00875520e+01 6.18292954e+01 1.00000000e-03],1424
8,[18.65453488],[[36.58231834]],"[array([[99.07752259, 43.31144765]]), 46.5079139562744]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[8.79616718e+03 2.40691598e+01 2.67272170e+01 1.00000000e-03],1424
9,[35.52483702],[[3.40238762]],"[array([[35.5249248, 75.1971949]]), 42.41948948356857]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[54767.45059646    86.57879021    68.09166923    80.74818016],1424
10,[17.97133144],[[37.94872523]],"[array([[23.87669837, 31.56178769]]), 45.07585050524696]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[9.28786074e+03 2.49837610e+01 2.77447661e+01 1.00000000e-03],1424
11,[25.81181502],[[22.26776978]],"[array([[13.36617043, 30.46823292]]), 68.42861875163842]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[7.74422307e+03 2.12729472e+01 2.40059377e+01 1.00000000e-03],1424
