,X_r,OC,KG,DL,HP_names,HP_vars,file_number
0,[39.37803631],[[0.00985135]],"[array([[4.67979829e-03, 4.02615306e+01]]), 59.62863841347479]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[9.99998351e+03 3.04551132e+01 3.25873093e+01 1.00000000e-02],235
1,[39.18986047],[[2.44458463e-05]],"[array([[35.82052378, 42.09685897]]), 57.676293556069176]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[9.99997387e+03 3.30156984e+01 3.18705703e+01 1.00239434e-02],235
2,[35.71621192],[[3.09912719]],"[array([[90.69089188, 40.89248121]]), 59.9509850935562]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[9940.4805349    34.95288631   33.47000723   88.10290769],235
3,[30.95780077],[[11.98562967]],"[array([[51.24230031, 41.26855727]]), 67.26967304738814]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[8.51191879e+03 3.71449921e+01 2.28672041e+01 1.00000000e-03],235
4,[37.30632274],[[1.01188122]],"[array([[37.29279267, 80.44134719]]), 63.74406061296526]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[8418.60236974   31.77674791   32.06966481   58.08346137],235
5,[37.25538255],[[1.06411199]],"[array([[37.24669505, 84.91872451]]), 64.5916593987487]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[8308.44158948   31.36634583   32.51433546   43.78693466],235
6,[61.14818433],[[57.33594095]],"[array([[61.10172212, 72.42320136]]), 124.69272859837096]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[1.21180324e+04 1.08290728e+01 3.33336694e+02 1.00000000e-03],235
7,[35.65830735],[[3.18994561]],"[array([[35.66819648, 32.55859792]]), 62.85461480138088]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[7999.86732975   35.82345876   26.3502742    36.22531487],235
8,[36.7879151],[[1.59385219]],"[array([[36.80639346, 46.73390225]]), 66.82662884051749]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[7890.74563711   33.15587738   29.37766898   43.14145424],235
9,[36.62478854],[[1.79870769]],"[array([[36.61054243, 41.15199066]]), 66.63881579247544]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[7808.60061147   33.04106165   28.27757187   30.54271833],235
10,[36.07528546],[[2.55564136]],"[array([[36.05343498, 69.71685642]]), 67.55309708591503]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[7752.30700281   33.07925087   27.5995242    26.00070215],235
11,[36.42118332],[[2.06765977]],"[array([[36.400053  , 72.93137887]]), 67.69773655359207]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[7659.94699143   32.89869855   28.13089057   25.14020453],235
12,[36.33922781],[[2.17986604]],"[array([[36.33736528, 23.80337778]]), 67.69939853793841]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[7560.54313983   32.73074121   27.46311151   20.64890505],235
13,[34.72583515],[[4.75231944]],"[array([[34.71138466, 38.97589279]]), 69.62911344266757]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[7408.14058356   35.66574573   21.16610247   19.7975322 ],235
14,[34.7994329],[[4.62309813]],"[array([[34.79968862, 91.09887056]]), 70.07129569532181]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[7420.31299335   35.77087572   20.67503123   15.75094595],235
15,[34.83562221],[[4.55987975]],"[array([[34.83534692, 94.61010935]]), 70.04240754798595]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[7231.43478403   35.25910777   21.06421691   15.28305047],235
16,[34.71727866],[[4.76739856]],"[array([[ 0.17590161, 22.79080348]]), 69.9648376282738]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[7161.32143212   35.13294559   20.9377438    13.35208769],235
17,[34.29792327],[[5.51947206]],"[array([[34.22938187,  5.70784772]]), 69.95950013084425]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[7068.19350845   35.9983064    20.73465916   12.87293874],235
18,[34.2701445],[[5.57012123]],"[array([[34.27042523, 52.94372839]]), 69.83260420080045]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[6776.19020516   35.99500929   20.95024992   13.10299537],235
19,[34.26752016],[[5.57491112]],"[array([[34.25463756, 35.06422722]]), 70.0359069651092]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[6773.83294483   36.12362011   20.78838714   11.56277122],235
20,[35.21693452],[[3.9078158]],"[array([[35.23574764, 90.55895199]]), 64.23941050166559]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[7188.50422509   35.37208539   28.30152035   44.79425963],235
21,[35.46035195],[[3.50652146]],"[array([[35.45161798, 75.26770236]]), 64.79786361893741]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[7133.18338929   35.21424374   28.04575151   41.32173759],235
22,[35.83957055],[[2.90849359]],"[array([[35.84415441, 91.54293309]]), 65.55596084797887]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[7070.18131872   35.11774333   27.73176061   38.36785585],235
23,[35.82786556],[[2.92641178]],"[array([[35.81388454, 86.72657449]]), 65.52459826362234]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[7023.44508323   35.00244915   27.41893513   35.50004562],235
24,[35.34165658],[[3.70062446]],"[array([[35.34128345, 94.21520884]]), 64.44925539375595]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[6992.69546368   34.8902106    27.22629369   33.12792049],235
25,[35.72581682],[[3.08414386]],"[array([[35.71691682, 96.25031211]]), 65.33055655673823]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[6954.77927947   34.79567241   26.99005759   30.93786328],235
26,[35.70793082],[[3.11206412]],"[array([[35.70087822, 87.74013041]]), 65.29302493814096]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[6919.6320814    34.69243762   26.86861833   29.17629973],235
27,[35.65545609],[[3.19443902]],"[array([[35.63192632, 52.84253591]]), 65.182918292135]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[6898.94117966   34.62734493   26.63399516   27.37309254],235
28,[35.77959483],[[3.00068589]],"[array([[35.77244502, 39.25237259]]), 65.11871358029346]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[6838.32932701   34.53480917   25.90697096   25.48219549],235
29,[35.41410259],[[3.58178546]],"[array([[35.40998356, 92.42891944]]), 66.13720324286756]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[6805.00659644   34.75295236   25.26457677   25.30986727],235
30,[35.31958538],[[3.73705369]],"[array([[35.30701848, 26.25738783]]), 65.8879438337548]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[6799.68161377   34.76212204   25.02856634   23.86875465],235
31,[34.91574427],[[4.42069665]],"[array([[34.93011046, 87.29089731]]), 65.78904847798644]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[6780.6682157    35.52824033   24.38301851   24.76967174],235
32,[35.14704859],[[4.02529065]],"[array([[35.14770135, 62.51368145]]), 66.20657357662768]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[6781.31708769   35.54626204   24.20070566   23.52123819],235
33,[35.30459924],[[3.76184744]],"[array([[35.30298084, 26.88484261]]), 66.58945940598714]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[6781.99841637   35.53025487   24.20399294   22.68213075],235
34,[35.36031448],[[3.66990994]],"[array([[35.37207801, 34.36907   ]]), 66.2082538182652]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[6786.85049816   34.96280878   24.99592574   24.61205034],235
35,[35.01328199],[[4.25276544]],"[array([[35.03301223, 65.19499163]]), 67.66370117823281]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[6749.25735292   35.25004621   23.99964282   27.10567529],235
