,X_r,OC,KG,DL,HP_names,HP_vars,file_number
0,[32.70506137],[[8.53800711]],"[array([[ 0.11572645, 43.27199954]]), 51.625258663464344]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[1.25394331e+04 4.81664680e+01 2.16434096e+01 1.00000000e-03],1396
1,[37.68009557],[[0.66447042]],"[array([[75.56275171, 39.88733044]]), 64.73474522264974]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[20560.53660422    52.36890168    42.62651815   102.18051412],1396
2,[32.51325555],[[8.91229316]],"[array([[46.55141099, 54.08790651]]), 50.97965805812787]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[1.30232028e+04 5.34234721e+01 2.28463469e+01 1.00000000e-03],1396
3,[35.52455498],[[3.40284106]],"[array([[35.49698943, 68.0219481 ]]), 68.41236398004881]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[15886.76046396    44.19787493    40.50860782    72.36952714],1396
4,[35.49189179],[[3.45547078]],"[array([[35.49201792, 65.99398435]]), 68.86270183394475]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[16074.9029501     44.81916468    41.19644613    63.35529599],1396
5,[35.44081754],[[3.53825289]],"[array([[35.52737163,  5.14005913]]), 69.0029470681511]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[16054.39398895    44.60139837    41.19577785    51.36710346],1396
6,[37.22343181],[[1.09744656]],"[array([[37.20007009,  1.50743072]]), 67.00422702468273]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[14314.70091173    43.28204075    40.20194539    73.52936641],1396
7,[35.03558182],[[4.21461197]],"[array([[35.03558368, 98.89786236]]), 67.08189343459236]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[17843.41845519    46.57671918    42.58338833   150.60545968],1396
8,[35.03895761],[[4.20884414]],"[array([[35.00663986, 23.32216546]]), 66.1530589670171]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[15477.35811771    46.81612673    40.06238213   152.20049312],1396
9,[35.06722573],[[4.16062839]],"[array([[35.03660416,  6.39236016]]), 59.55792121410519]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[15069.02498107    47.99314109    41.51163042   203.25820424],1396
10,[35.30081575],[[3.76811468]],"[array([[35.33038309, 43.47622798]]), 59.6578951368673]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[15246.07880092    48.06294313    42.24475226   196.19584636],1396
11,[35.14696405],[[4.02543355]],"[array([[35.16571734, 61.55592492]]), 61.07701388937685]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[15028.66786781    47.60745698    41.88135005   179.3199542 ],1396
12,[35.25791448],[[3.83938509]],"[array([[35.25032482, 39.58788603]]), 61.004698955529705]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[14682.53666332    47.3334909     41.21446152   166.895741  ],1396
13,[35.23192972],[[3.88273658]],"[array([[35.24610301, 60.92166355]]), 63.68242855978699]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[14290.1138583     46.63168381    40.20132985   157.49266344],1396
