,X_r,OC,KG,DL,HP_names,HP_vars,file_number
0,[0.00027127],[[73.89084555]],"[array([[6.72841427e-03, 2.90768099e+01]]), 120.45771319963464]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[1.00004724e+04 6.12970755e+01 1.99194768e+01 2.47124699e-05],1512
1,[33.39772522],[[7.2017023]],"[array([[ 1.82145048, 29.22482917]]), 101.41776199884953]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[1.00004700e+04 3.90059809e+01 2.47123646e+01 1.01366302e-02],1512
2,[38.19721522],[[0.29597512]],"[array([[70.56972509, 43.93515031]]), 92.66688236425117]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[8.67117593e+03 3.46470694e+01 2.68989925e+01 1.00000000e-03],1512
3,[35.80007297],[[2.96910193]],"[array([[15.14810977, 43.63983466]]), 97.21416573578651]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[8917.64542903   38.15046446   25.5180688    16.55226924],1512
4,[40.21208942],[[0.31944571]],"[array([[58.61632344, 34.76845801]]), 79.50686761245576]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[8920.61006459   33.89028033   28.64774291   13.74416604],1512
5,[38.91393826],[[0.02458837]],"[array([[ 5.65576036, 55.46124702]]), 71.13812437679137]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[8607.30650395   34.43037584   29.25519446   15.98195724],1512
6,[56.53329691],[[43.49127905]],"[array([[33.10661984, 39.61748137]]), 41.271876250559444]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[8.79556801e+03 2.17862093e+01 3.97840133e+01 1.00000000e-03],1512
7,[39.47517108],[[0.02347923]],"[array([[39.50945494,  3.19805826]]), 69.04790487933123]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[8550.90992125   33.9316339    30.12079906   16.29784106],1512
8,[39.60535714],[[0.05095434]],"[array([[39.64416168, 59.74960724]]), 69.17603116129028]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[8440.96037059   33.70915295   30.60317922   13.47342077],1512
9,[40.17865631],[[0.29861156]],"[array([[71.08031611, 25.44775211]]), 69.2124564212751]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[7918.54155468   32.10425458   29.13235285   13.23879766],1512
