,X_r,OC,KG,DL,HP_names,HP_vars,file_number
0,[42.86930005],[[4.06596026]],"[array([[27.97351618, 80.91394715]]), 52.76759560059353]","[0, 80.7980694237544]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[12980.07395267    45.56966068    43.5660866     46.17744721],69
1,[30.54178913],[[12.81404829]],"[array([[ 5.61624616, 35.87294737]]), 58.46688263611847]","[0, 57.193574064734314]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[12982.5180716     45.57180572    43.56854817    46.17820316],69
2,[34.22506084],[[5.65252261]],"[array([[49.74064125, 27.01405328]]), 59.2207570056095]","[0, 58.19334364864371]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[12981.71150081    41.72252711    50.90372734    47.11768089],69
3,[36.79344098],[[1.58708536]],"[array([[44.8115698 , 45.24203448]]), 63.511480134111785]","[0, 63.600812064349654]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[1.22857065e+04 4.01915711e+01 4.30143809e+01 1.00000000e-03],69
4,[36.93593339],[[1.41662726]],"[array([[45.26397751, 45.48940021]]), 63.84045257093325]","[0, 63.711051269102484]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[1.22858666e+04 4.01914896e+01 4.30144510e+01 1.00000000e-03],69
5,[39.52057949],[[0.03186146]],"[array([[3.95280197e+01, 1.07112185e-06]]), 72.29327915503502]","[0, 72.70642035909542]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[12227.22216248    35.03495362    53.63008601    84.56732329],69
6,[39.72457488],[[0.08541699]],"[array([[39.88430966,  2.88984577]]), 73.32352701663343]","[0, 72.94096418440083]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[12142.94928085    34.99428098    53.50853182    84.61129886],69
7,[45.0136271],[[9.31255282]],"[array([[40.18677362, 45.3555261 ]]), 91.56551921830759]","[0, 91.25857077043639]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[8.37483616e+03 3.36365704e+01 2.16452239e+01 1.00000000e-03],69
8,[44.88027943],[[8.95176715]],"[array([[99.99999993, 39.01914981]]), 87.93238658105395]","[0, 88.06799019160515]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[8402.37399023   34.41786193   21.69541351   13.37419875],69
9,[45.30309584],[[10.10644644]],"[array([[45.32204961, 16.78114162]]), 88.78330650148743]","[0, 88.70881119677988]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[8402.4124899    34.41787256   21.69554925   13.37431675],69
10,[46.78716496],[[14.34280222]],"[array([[97.4433169 , 39.54473794]]), 94.61529961763058]","[0, 94.53536230331495]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[7380.79326912   33.95916491   19.53732495   12.09090513],69
11,[46.05976971],[[12.23823151]],"[array([[46.06024943, 91.68212717]]), 93.23393019020492]","[0, 93.19774830465103]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[8022.40301208   35.13318114   20.34292053   12.5281163 ],69
