,X_r,OC,KG,DL,HP_names,HP_vars,file_number
0,[47.66079122],[[16.9139408]],"[array([[70.0573516, 87.3860445]]), 56.503446477283774]","[0, 92.81115999182613]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[9.19831333e+03 4.03241213e+01 2.76567337e+01 1.00000000e-03],22
1,[99.99915375],[[173.88884937]],"[array([[99.9839719 , 97.45569637]]), 18.86505476578675]","[0, 19.314213084632943]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[6849.06377547 1995.5024686    65.23672812 1439.98687399],22
2,[99.99915375],[[173.88884937]],"[array([[99.99999973, 24.80687251]]), 22.7109803725355]","[0, 22.683760687536793]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[6239.46963799  117.74346554   56.52855364 1156.90560868],22
3,[25.01507821],[[23.86123503]],"[array([[3.54381101e-02, 3.63791991e+01]]), 73.14213954989523]","[0, 66.83427945734802]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[1.39591770e+04 5.01961851e+01 3.08140340e+01 1.00000000e-03],22
4,[31.45991718],[[10.98828203]],"[array([[27.51460573, 36.87125077]]), 61.760031312301706]","[0, 60.332230178006974]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[1.39589018e+04 4.68099313e+01 3.16837981e+01 1.98646959e-04],22
5,[32.29112134],[[9.34750996]],"[array([[32.33998721,  6.13126845]]), 58.65423635414297]","[0, 57.872226908187706]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[14176.55486526    46.36114488    33.98727745    26.48619006],22
6,[31.44312089],[[11.02158627]],"[array([[31.42431853, 65.35911797]]), 56.48841343912872]","[0, 57.63711853874169]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[12157.75553944    47.37266215    31.26438341    28.53972259],22
7,[32.84694688],[[8.26216658]],"[array([[32.84797565, 33.00385405]]), 65.14407681145514]","[0, 64.93143098928998]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[12157.73761987    47.37245613    31.26440114    28.53970092],22
8,[32.76945821],[[8.41269711]],"[array([[32.77501869, 74.47236521]]), 66.30798794355329]","[0, 66.65423121896501]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[12938.21570142    45.67783555    33.29098195   101.76638487],22
9,[33.31963045],[[7.35091829]],"[array([[33.30634046, 82.81830795]]), 69.36836345140317]","[0, 69.93653747783364]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[12938.30693349    45.67797194    33.29091185   101.7646819 ],22
