,X_r,OC,KG,DL,HP_names,HP_vars,file_number
0,[41.80836153],[[2.10757061]],"[array([[14.73169694,  3.01884314]]), 35.77335575056172]","[0, 64.23438548734225]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[16859.51189798    41.8409699     52.12818332   385.14536401],54
1,[31.50031366],[[10.90820129]],"[array([[18.82876464, 11.80486057]]), 32.65704445634126]","[0, 32.91005538797797]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[16859.18035967    41.84090655    52.12789255   385.16879579],54
2,[34.26556085],[[5.57848754]],"[array([[18.23174252, 16.18997662]]), 39.45707156360777]","[0, 39.231701511828604]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[16859.18601804    41.84090813    52.12789809   385.16837697],54
3,[36.11988145],[[2.49066338]],"[array([[23.58233038, 25.93905246]]), 60.07465190353186]","[0, 60.329137247647616]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[1.68591491e+04 2.62951493e+01 5.83681463e+01 1.07135737e-02],54
4,[34.30872172],[[5.49980877]],"[array([[99.20881326,  7.75258147]]), 42.20633264227327]","[0, 41.749099506359144]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[17275.20545294    41.99942388    55.23064466   296.38692105],54
5,[31.32562257],[[11.25469001]],"[array([[ 7.82037644, 39.01579407]]), 46.89249493399499]","[0, 46.739607748566186]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[1.72752283e+04 5.39957354e+01 3.04770493e+01 1.20880641e-02],54
6,[31.93668003],[[10.04515226]],"[array([[20.84392993, 61.04715871]]), 44.81614314256797]","[0, 44.91527734516837]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[1.85367584e+04 5.58372245e+01 3.10454974e+01 1.00000000e-03],54
7,[32.02944761],[[9.86222433]],"[array([[20.08779965, 61.98517525]]), 44.97581620827477]","[0, 44.97423578762199]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[1.85367587e+04 5.58369859e+01 3.10454265e+01 4.07030850e-05],54
8,[31.62612292],[[10.65898437]],"[array([[31.62769977, 73.67468874]]), 47.20663310877231]","[0, 47.22228155367001]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[1.85367575e+04 5.42259576e+01 3.28393605e+01 1.52581993e+00],54
9,[31.69370047],[[10.52524104]],"[array([[31.69475769,  3.79154346]]), 47.33195476406756]","[0, 47.31058617019643]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[1.85367531e+04 5.42258250e+01 3.28394296e+01 1.52581925e+00],54
10,[32.94147748],[[8.07892868]],"[array([[78.99286101, 30.53467808]]), 41.51598831443702]","[0, 41.51703086249843]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[1.55108712e+04 4.62990233e+01 2.99426763e+01 1.00000000e-03],54
11,[32.95893326],[[8.04514265]],"[array([[76.31158514, 30.75627676]]), 41.864987210986236]","[0, 41.80864739618846]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[1.55111245e+04 4.62995539e+01 2.99425421e+01 1.00000000e-03],54
