,X_r,OC,KG,DL,HP_names,HP_vars,file_number
0,[37.18406572],[[1.13911904]],"[array([[ 0.18078861, 18.06030483]]), 44.165404757609274]","[0, 64.74308511603773]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[20123.85837935    73.2056094     51.61974237   100.99290702],20
1,[1.55649912],[[70.77838977]],"[array([[7.60678621e-07, 2.71812166e+01]]), 46.031601427160865]","[0, 43.97751808385339]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[20065.95800277    73.14469853    51.59098994   100.99989368],20
2,[22.10488019],[[29.68162766]],"[array([[99.99999995, 90.69646007]]), 35.6937363403827]","[0, 35.119585575866935]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[17195.89231423    63.92720862    49.72701028   103.29922189],20
3,[22.06313787],[[29.76511229]],"[array([[ 6.97369509, 99.2850027 ]]), 37.45608241619542]","[0, 37.18220331433426]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[18968.21564663    65.38532872    51.71749837    79.84758855],20
4,[23.03648303],[[27.81842208]],"[array([[98.26764883,  1.32722508]]), 36.053867904375096]","[0, 36.110258370451945]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[18957.9638411     63.77781924    49.91047802    85.296573  ],20
5,[23.68065484],[[26.53007869]],"[array([[98.08702681,  1.17714945]]), 37.506901800067666]","[0, 37.085826232255656]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[15881.68776564    61.5993608     48.19886033    82.70542852],20
6,[20.21439699],[[33.46259405]],"[array([[20.15715827, 88.84273616]]), 32.52364068188727]","[0, 32.70972740886531]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[31951.43744074    78.50923333    65.40606906   163.15778993],20
7,[22.03680273],[[29.81778258]],"[array([[22.03759663, 90.69318639]]), 36.27340057620613]","[0, 36.3086125665608]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[31951.34431035    78.50865794    65.40436592   163.18423973],20
8,[21.62055594],[[30.65027615]],"[array([[21.6211894 , 96.86771399]]), 35.449739832169016]","[0, 35.58897232471958]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[31951.25119531    78.50864688    65.40435121   163.18400722],20
9,[22.3404618],[[29.21046446]],"[array([[22.36134635,  9.7135888 ]]), 36.905109544049175]","[0, 36.89759672313369]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[31952.18177721    78.50832832    65.40446901   163.18576213],20
10,[23.59157142],[[26.70824547]],"[array([[0.35718283, 0.77100841]]), 35.450716023512214]","[0, 35.5001298398238]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[29285.87540249    71.1250029     66.46132548   171.98760191],20
11,[23.2291931],[[27.43300198]],"[array([[23.2141389 , 57.03810192]]), 34.80105579295602]","[0, 34.77290080846448]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[29285.65497308    71.12421131    66.46314111   171.98529814],20
12,[22.96673627],[[27.95791557]],"[array([[22.96748326, 89.77346401]]), 31.702335840435055]","[0, 31.769580060581706]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[29512.68328877    72.14576096    67.55917294   165.43851259],20
13,[23.86481829],[[26.16175193]],"[array([[23.86530961, 81.0614058 ]]), 33.083139412056916]","[0, 33.08505478872938]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[29512.07661093    72.1444368     67.55737978   165.44012611],20
14,[24.05461289],[[25.7821629]],"[array([[24.05368414, 90.38016131]]), 33.36965925513353]","[0, 33.43274076447638]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[29511.46519554    72.14402402    67.55784567   165.44389872],20
15,[24.64699817],[[24.5973935]],"[array([[24.63887123, 90.14644406]]), 34.28438272670104]","[0, 34.23031021221005]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[29510.8934752     72.14352941    67.55843694   165.44163671],20
16,[24.5481601],[[24.79506936]],"[array([[24.54323331, 72.52583062]]), 33.973906349388585]","[0, 33.90344631799905]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[27790.4753964     70.88116425    66.14771737   151.70376734],20
17,[24.85286828],[[24.18565402]],"[array([[24.84733308, 50.7996976 ]]), 32.95329588112497]","[0, 32.96039228674269]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[26750.62364835    69.46376646    65.84582816   146.20383794],20
18,[25.03528778],[[23.8208159]],"[array([[1.14004231, 0.18518494]]), 33.20243830707116]","[0, 33.12650320603179]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[26750.6248172     69.46425458    65.84520062   146.20177394],20
19,[24.48560849],[[24.92017242]],"[array([[24.48508675, 40.33731857]]), 31.901083076594315]","[0, 31.931101589294116]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[27052.62461006    71.17583634    66.83537872   141.7103111 ],20
20,[24.41811881],[[25.05515165]],"[array([[24.42415572, 59.27926716]]), 31.82139725303125]","[0, 31.83152613507226]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[27053.6258115     71.1772052     66.8362939    141.70848901],20
21,[24.24256348],[[25.40626198]],"[array([[24.23042294, 51.62904408]]), 31.6079816150875]","[0, 31.65670026010765]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[27053.62746997    71.1772529     66.8364923    141.70864496],20
22,[24.44304098],[[25.00530736]],"[array([[24.40313564, 46.96469414]]), 31.850225740032947]","[0, 31.80822588527492]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[27053.62912816    71.17725376    66.83649346   141.70864704],20
23,[24.93251027],[[24.02637039]],"[array([[24.91854321, 18.12305551]]), 34.04816510395926]","[0, 34.10185583093418]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[26321.12676214    69.25710242    66.13352208   131.38466272],20
24,[25.28239702],[[23.32659908]],"[array([[25.28447745, 97.0099961 ]]), 34.518314616877504]","[0, 34.51272970583129]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[26319.98969143    69.25652559    66.13308369   131.38128791],20
25,[25.25643218],[[23.37852855]],"[array([[25.2474533 , 29.43853806]]), 34.427365616199005]","[0, 34.400755916646965]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[26307.81556355    69.20888932    66.45644076   120.89221588],20
26,[26.26118183],[[21.36904758]],"[array([[26.27321354, 84.42721429]]), 39.93190303978602]","[0, 39.889631028175124]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[25219.13123207    64.46984272    64.82671535   185.74588536],20
27,[26.63205312],[[20.62732205]],"[array([[26.61697477, 26.30355265]]), 40.295994618796264]","[0, 40.338502766621964]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[24476.8552122     63.47218386    63.81363327   172.38080014],20
28,[26.47007613],[[20.95126747]],"[array([[26.46993816, 97.99650216]]), 40.07014030592606]","[0, 40.04617557291327]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[24476.7893338     63.47221677    63.81384853   172.38194842],20
29,[26.6085866],[[20.67425373]],"[array([[26.61947889, 41.92394524]]), 40.254020668399974]","[0, 40.26535817630028]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[24465.64590915    63.17927097    63.90572976   160.178101  ],20
30,[26.6846089],[[20.52221372]],"[array([[26.6932174 , 23.40044739]]), 40.367372122883104]","[0, 40.35337992235303]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[24466.09603716    63.17978189    63.90635952   160.17947379],20
31,[27.96397524],[[17.96369979]],"[array([[27.98697735, 72.76386257]]), 44.99536911036812]","[0, 44.99510907558155]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[23545.37757462    59.89253267    62.22905287   248.40711126],20
32,[27.91994073],[[18.0517537]],"[array([[27.92245983, 54.58603427]]), 44.62822570722005]","[0, 44.63053096123638]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[23168.49430187    59.48847225    61.45518958   234.00791652],20
33,[27.91649544],[[18.05864314]],"[array([[27.91621901, 24.71319557]]), 44.62415787557857]","[0, 44.64879525656149]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[23168.1907813     59.48849023    61.45510446   234.00890966],20
34,[27.95472671],[[17.98219362]],"[array([[27.97529288, 39.92276019]]), 44.67976001181636]","[0, 44.64288516989605]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[23168.26055795    59.48837426    61.45504771   234.00914435],20
35,[28.7013513],[[16.48937553]],"[array([[28.71116911, 53.24635656]]), 47.36907172841913]","[0, 47.327539174063965]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[22377.23707744    58.05321484    59.33453853   222.01130855],20
36,[28.78499415],[[16.3221675]],"[array([[28.78129445, 26.78164498]]), 47.461480764868]","[0, 47.45200117308406]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[22439.46570153    57.85425182    59.37974699   209.11610683],20
