,X_r,OC,KG,DL,HP_names,HP_vars,file_number
0,[27.82672241],[[18.23816109]],"[array([[4.68874211e-07, 3.84358529e+01]]), 27.83119678706538]","[0, 68.60698962858021]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[14058.10968016    64.85558729    36.33394358   188.0437362 ],7
1,[29.61807247],[[14.65738895]],"[array([[3.62691324e-05, 4.35417544e+01]]), 53.23470702400698]","[0, 51.397291811009254]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[13635.75848621    64.38219627    35.96420543   190.47564806],7
2,[99.99813343],[[173.88578836]],"[array([[88.35027625, 44.64235865]]), 35.95561253571444]","[0, 33.43785161701316]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[5.53876009e+03 2.05831891e+02 6.23564677e+00 1.00000000e-03],7
3,[42.19299955],[[2.75452887]],"[0, -90000000000.0]","[0, 0.0]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[3.45696582e+03 8.81634480e+02 3.31697556e-46 2.77887733e+03],7
4,[63.80990723],[[65.32110975]],"[array([[96.91420691, 41.70802411]]), 2.6504125604976223]","[0, 0.006774434618269706]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[3.72901613e+03 2.63377957e-01 1.81254794e-01 2.50491198e+03],7
5,[32.79153619],[[8.36977915]],"[array([[42.71480711,  1.09096937]]), 34.820769912503465]","[0, 34.69115497821931]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[10275.26367489    51.19506653    41.58517406   425.147091  ],7
6,[51.01289717],[[26.93107045]],"[array([[16.62274608, 31.1136379 ]]), 44.83205733494547]","[0, 33.94897208195707]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[1.02751126e+04 1.74239261e+01 4.36360266e+01 1.59950164e-03],7
7,[29.65750139],[[14.57863461]],"[array([[29.66622278, 99.99997698]]), 42.143786780045765]","[0, 42.12289408660626]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[20778.40774661    60.77882198    54.04380578   341.33408821],7
8,[29.33852329],[[15.21587196]],"[array([[29.30896631,  2.31950485]]), 41.45704791664769]","[0, 41.68182843034472]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[23798.85543473    63.15150875    59.0792099    309.29262123],7
9,[49.6373578],[[22.80856361]],"[array([[64.47563366, 99.90209955]]), 43.851798085051314]","[0, 43.91264621108403]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[23798.60113486    26.2811404     69.20326713    79.2821535 ],7
10,[30.71647541],[[12.46600642]],"[array([[30.71721585, 87.75171495]]), 44.17917213997949]","[0, 44.401275660332765]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[23799.73847977    63.15151776    59.07929964   309.30258494],7
11,[30.79060963],[[12.3183786]],"[array([[30.7903521 , 81.02646349]]), 44.33564479924913]","[0, 44.45672573999446]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[23797.44127199    63.15088539    59.07927605   309.25409652],7
12,[49.77753461],[[23.22834268]],"[array([[65.29575067, 99.99999998]]), 46.10252692703142]","[0, 45.86840695285295]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[23797.18597564    26.28091222    69.20180179    79.28302221],7
13,[31.13820628],[[11.62691496]],"[array([[31.11862414, 47.49054039]]), 45.335016710859456]","[0, 45.353296360859524]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[23830.89951734    64.06139848    58.91561746   279.0159139 ],7
14,[30.98502117],[[11.93148177]],"[array([[97.22367252,  0.77859968]]), 45.033133649989495]","[0, 44.98439424382582]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[23833.41573011    64.06538751    58.91768471   279.03088663],7
15,[30.71482126],[[12.46930097]],"[array([[30.73613836, 87.47335014]]), 44.50815441167259]","[0, 44.55296642267994]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[34735.00706304    72.33564628    68.62010203   257.11718268],7
16,[30.06777296],[[13.75948414]],"[array([[30.0712776 , 26.22412381]]), 43.29285800046861]","[0, 43.30184033120876]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[34736.02139853    72.33191612    68.62313194   257.12170123],7
17,[30.07154809],[[13.75194982]],"[array([[30.07576439, 62.46330355]]), 43.307189894161496]","[0, 43.26250080478646]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[34735.90080077    72.33097645    68.62370338   257.17468584],7
18,[30.06777296],[[13.75948414]],"[array([[30.05093948, 38.83682465]]), 41.60872205198881]","[0, 41.581609959557085]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[34209.99118903    72.90484141    67.9753328    241.25077227],7
19,[30.95671856],[[11.98778273]],"[array([[30.98877821, 99.81755732]]), 48.604373005518624]","[0, 48.53537601773476]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[30776.90084443    68.50306415    62.70686443   234.30163327],7
20,[31.10222579],[[11.69842754]],"[array([[31.11588067, 97.24100339]]), 48.956633945380545]","[0, 48.873252972807606]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[30186.8062647     67.99049167    61.90607925   211.51547555],7
21,[31.29228111],[[11.32087393]],"[array([[31.28821493, 53.09169396]]), 49.41125373333381]","[0, 49.41185309307536]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[29649.00813004    67.39590046    61.13013186   191.68186695],7
22,[31.75125335],[[10.41140985]],"[array([[23.34848369, 43.31944584]]), 50.32293399958459]","[0, 50.268574773889185]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[29648.21018905    67.39595358    61.12963276   191.68279611],7
