,X_r,OC,KG,DL,HP_names,HP_vars,file_number
0,[31.6288351],[[10.65361535]],"[array([[ 0.49270495, 53.43219169]]), 36.33002761937482]","[0, 99.26873503580147]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[11264.78465442    68.43188766    27.60873298    76.79843429],76
1,[0.00051542],[[73.89035733]],"[array([[ 0.4530606 , 49.10739999]]), 70.47330194003365]","[0, 67.11422584007842]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[11257.12615352    68.40946076    27.60750901    76.80444015],76
2,[37.23551662],[[1.08478671]],"[array([[16.26468211, 38.04770722]]), 51.86701207061019]","[0, 51.74692978689457]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[12254.4771154     50.15995928    39.21121108   102.42034386],76
3,[35.78005841],[[2.99996988]],"[array([[43.61867728, 86.4296429 ]]), 52.41557495179072]","[0, 53.7075835196062]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[12847.85497616    50.07513442    41.58538717    75.25525975],76
4,[33.41540289],[[7.16798519]],"[array([[44.18365076,  0.22617371]]), 47.90761576508024]","[0, 48.0196076410353]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[12815.33328139    50.0396381     41.55390636    75.17994463],76
5,[34.0996837],[[5.8829324]],"[array([[7.15139399e+01, 2.03404070e-07]]), 49.312823153270536]","[0, 49.21916833105359]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[12782.91827059    50.00513061    41.52366029    75.13135692],76
6,[34.9748222],[[4.31878001]],"[array([[99.99999996, 42.62603126]]), 59.47961349708866]","[0, 58.586621257270984]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[1.27829201e+04 3.63371588e+01 4.45285864e+01 1.04013391e-02],76
7,[36.988121],[[1.35618274]],"[array([[36.49221848, 96.9801956 ]]), 49.932213226185816]","[0, 49.76253274388968]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[25773.55627244    65.38412489    56.29723906    78.39900997],76
8,[36.14088435],[[2.46026593]],"[array([[9.07838999, 0.21441065]]), 48.588716392690856]","[0, 48.84906956383572]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[25773.45945885    65.47447052    55.26895015    78.34914221],76
9,[35.8018685],[[2.96633792]],"[array([[35.78151369, 90.77668599]]), 47.92522201158313]","[0, 47.76582107918712]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[25773.38461186    65.47300704    55.26813527    78.34792115],76
10,[35.36209728],[[3.6669792]],"[array([[35.36967691, 62.19736053]]), 47.674861137780915]","[0, 47.86821092761317]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[22391.13267941    61.96804994    52.19025092    67.39983304],76
11,[34.77260488],[[4.67010178]],"[array([[34.76325754, 25.31465028]]), 46.50791587083259]","[0, 46.575427535956536]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[22390.95991312    61.96871121    52.18979665    67.39799251],76
