,X_r,OC,KG,DL,HP_names,HP_vars,file_number
24,[32.42421831],[[9.08652978]],"[array([[32.44656571, 52.51165022]]), 67.6528101137687]","[0, 67.64342757392834]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[15188.04508598    44.87889102    42.15551964   127.16892111],46
25,[43.27323093],[[4.94272505]],"[array([[48.86639005, 40.28829842]]), 84.84028005691984]","[0, 84.1678659902881]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[5.20942712e+03 1.01331616e+01 2.52658156e+01 1.00000000e-03],46
26,[41.97200711],[[2.37346829]],"[array([[37.30608162, 40.87013227]]), 84.26162068986721]","[0, 84.14800790210937]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[5.20932426e+03 9.80316370e+00 2.53942041e+01 2.33629251e-02],46
27,[41.78644737],[[2.07304368]],"[array([[99.9999998 , 40.52039973]]), 84.5024289126561]","[0, 84.49274463977494]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[5.04808971e+03 9.95103016e+00 2.52831885e+01 1.00000000e-03],46
28,[41.79291286],[[2.0832037]],"[array([[41.80825527, 80.80764934]]), 84.78838788054267]","[0, 84.72580767024407]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[4.83677748e+03 9.91975206e+00 2.52332590e+01 1.00000000e-03],46
29,[41.80610268],[[2.10400011]],"[array([[41.82184665,  8.04321548]]), 85.01146545896545]","[0, 84.98566871984434]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[4.68923246e+03 9.95933176e+00 2.51282402e+01 1.00000000e-03],46
30,[41.77933193],[[2.06188828]],"[array([[41.77844428, 84.37926728]]), 84.82393505070813]","[0, 84.95149945784623]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[4.68927130e+03 1.04273904e+01 2.48379712e+01 4.74285563e-01],46
31,[41.72417266],[[1.97633846]],"[array([[69.87195647, 41.25354278]]), 82.67600625830426]","[0, 82.60278833138362]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[4.80575900e+03 1.04503095e+01 2.49135285e+01 4.79220741e-01],46
32,[41.74437779],[[2.00748467]],"[array([[41.66999681, 48.98470025]]), 83.22561723082428]","[0, 83.29245427857133]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[4.80571654e+03 1.04585539e+01 2.50346259e+01 5.05542835e-01],46
33,[41.76118563],[[2.03356249]],"[array([[41.74717737, 37.95833337]]), 84.14090899945732]","[0, 83.84456303393716]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[4.80567529e+03 1.04585429e+01 2.50347013e+01 5.05576027e-01],46
34,[34.41974727],[[5.2985015]],"[array([[34.39611961, 80.34978223]]), 72.76931369897304]","[0, 72.76037900591653]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[9545.71450206   40.57421315   29.27541588  115.80891083],46
35,[40.66359984],[[0.66939929]],"[array([[40.6803585 , 32.56830094]]), 84.66897906074394]","[0, 84.70518886329421]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[5448.9778601    14.95879336   25.16007546   21.95597042],46
36,[34.20128273],[[5.69608081]],"[array([[34.20897413, 17.04381705]]), 72.44296422147595]","[0, 72.44951956633192]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[9546.37647597   40.49013992   29.42941291  110.82521256],46
37,[34.18098258],[[5.73332035]],"[array([[34.17517512, 37.67023858]]), 72.40349457444006]","[0, 72.42258719729772]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[9546.36134319   40.49012902   29.42947154  110.82540193],46
38,[40.58531694],[[0.59962238]],"[array([[40.55790588, 17.98678942]]), 83.76520647842112]","[0, 83.78941293131355]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[5448.45055389   14.95814153   25.15903773   21.95412255],46
39,[34.16460356],[[5.76340167]],"[array([[34.1906737 , 11.34555187]]), 72.38421745896756]","[0, 72.32591369266109]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[9546.48635013   40.49022286   29.42954307  110.82537649],46
