,X_r,OC,KG,DL,HP_names,HP_vars,file_number
0,[26.87148087],[[20.14848347]],"[array([[10.0148525 , 27.77458423]]), 57.99767615115292]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[1.08791320e+04 5.08282348e+01 2.87625672e+01 1.00000000e-03],913
1,[30.33289861],[[13.23052418]],"[array([[58.81957795, 29.50522234]]), 48.45973853831013]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[10879.4508363     49.010559      33.80804673    90.42024028],913
2,[30.26532962],[[13.36529769]],"[array([[ 0.57764624, 12.518874  ]]), 47.68989449524592]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[13300.98299963    53.42715599    37.3732111     76.35502273],913
3,[30.04543934],[[13.80405849]],"[array([[99.99999621, 10.91555499]]), 47.79092940353771]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[13269.08169736    55.2024649     38.30805434    69.11656196],913
4,[29.46891848],[[14.95534451]],"[array([[7.93179625e-06, 7.76826466e+01]]), 45.775327225267105]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[17987.24565369    64.1938289     42.32989624    65.52504911],913
5,[30.35170452],[[13.1930185]],"[array([[30.34416804, 35.11131505]]), 44.45362428833741]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[16327.95264593    60.10790262    43.30764127    67.46016175],913
6,[30.74800925],[[12.40320538]],"[array([[27.01271244, 34.48258124]]), 67.47941026760195]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[1.28298148e+04 2.80759622e+01 4.15298470e+01 1.00000000e-03],913
7,[31.86406734],[[10.18848477]],"[array([[31.86569247, 30.06897169]]), 58.52950747932559]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[15574.35179588    53.84782617    41.26844066    75.90740659],913
8,[32.32294907],[[9.28504693]],"[array([[32.31864413, 46.39472627]]), 62.945708889896395]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[16598.80572964    50.11604556    43.24253005   124.27972473],913
9,[32.31990265],[[9.29102419]],"[array([[32.34564931, 92.54510879]]), 61.662734990513265]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[16902.97115173    50.23057245    44.06570075   114.33109199],913
10,[36.95103325],[[1.39902717]],"[array([[44.43872439, 38.70093   ]]), 69.08658771952945]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[1.69028950e+04 2.16835959e+01 5.01087145e+01 9.86923780e-01],913
11,[37.63745109],[[0.70081577]],"[array([[37.6318279 , 65.36285118]]), 70.31850513058146]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[1.69028928e+04 2.22968411e+01 4.84591248e+01 7.57251216e-01],913
12,[37.67233313],[[0.6710212]],"[array([[37.67342706, 78.33939671]]), 70.29697152300155]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[1.56499740e+04 2.18829235e+01 4.83816822e+01 3.85190836e-01],913
13,[37.71581497],[[0.63470127]],"[array([[37.70577786, 86.83814844]]), 70.32454118671988]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[1.56499740e+04 2.17941672e+01 4.91499798e+01 3.68307474e-01],913
14,[37.67233313],[[0.6710212]],"[array([[37.66268776, 84.73351996]]), 70.25308692331193]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[1.65579551e+04 2.19020198e+01 5.08502454e+01 3.10474333e-01],913
15,[37.75066866],[[0.6062513]],"[array([[37.75852263, 93.13403944]]), 70.2269462960712]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[1.65579558e+04 2.15213365e+01 5.14071905e+01 1.71184696e-01],913
16,[38.16628789],[[0.3141213]],"[array([[38.156588  , 65.49806789]]), 70.2311714594363]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[1.65579574e+04 1.76525077e+01 5.27575857e+01 5.70046419e-05],913
17,[38.16390843],[[0.31553858]],"[array([[38.16338871, 96.49373925]]), 70.12743176308344]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[1.60966920e+04 1.77329278e+01 5.19652489e+01 3.92259355e-05],913
18,[38.10428949],[[0.35203086]],"[array([[38.13924164, 54.49776804]]), 69.89993953310025]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[1.60966921e+04 1.79712166e+01 5.19497543e+01 3.97722356e-05],913
19,[38.38596622],[[0.19644787]],"[array([[38.38603636, 29.00298861]]), 73.1876959197622]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[1.01875926e+04 1.48810282e+01 4.12154696e+01 1.00000000e-03],913
20,[33.32984493],[[7.33137749]],"[array([[33.32128161, 84.06153909]]), 63.46953540724911]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[14914.53725901    48.75278479    42.30642966    50.00904609],913
21,[34.93324243],[[4.39044644]],"[array([[34.92302511, 63.94836861]]), 65.45441419531204]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[11188.23276057    27.24648679    38.88385636    18.86088789],913
