,X_r,OC,KG,DL,HP_names,HP_vars,file_number
0,[40.97334551],[[0.98235772]],"[array([[ 6.4766842 , 40.13999309]]), 82.4926224014459]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[6.96905808e+03 2.28761761e+01 2.92783287e+01 1.00000000e-02],921
1,[41.7110858],[[1.9562834]],"[array([[53.78198703, 41.23525418]]), 81.16713342667029]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[6.96904795e+03 2.40988333e+01 2.94813979e+01 1.00008297e-02],921
2,[39.38122793],[[0.01020632]],"[array([[99.94429137, 37.71590587]]), 82.94239420891172]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[6.09693130e+03 2.14049985e+01 3.37760242e+01 1.00000000e-03],921
3,[39.5444916],[[0.03679223]],"[array([[28.8718744 , 40.49068434]]), 81.79504965010433]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[6.09694310e+03 2.29354359e+01 3.04479556e+01 1.00339582e-02],921
4,[39.86997925],[[0.13954011]],"[array([[24.03669967, 66.08211695]]), 76.72984163042582]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[6336.29144628   24.04316948   30.47812703   16.96054311],921
5,[38.27553523],[[0.25232234]],"[array([[38.27182478, 75.25959913]]), 66.0426092290947]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[7160.13603388   29.91126839   35.26265032   83.70771515],921
6,[38.19458633],[[0.2974977]],"[array([[38.32084037, 91.09125287]]), 65.03030141747938]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[7540.38081597   31.30299559   37.7129343    82.81753467],921
7,[38.49589723],[[0.14753283]],"[array([[38.52570752, 23.89503834]]), 66.5148109306237]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[6674.67528638   30.49704445   34.30011279   77.71728991],921
8,[38.85157062],[[0.03645933]],"[array([[38.84779227, 26.01608466]]), 57.50989318046719]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[7967.1408163    38.71306299   34.8355947   145.89190259],921
9,[38.71978987],[[0.06907578]],"[array([[38.70140639, 19.20572726]]), 58.49993397579183]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[8171.10036697   38.71114675   36.43638254  141.85042993],921
10,[38.78127578],[[0.05259167]],"[array([[38.78117146, 93.00314722]]), 59.08720268474895]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[7844.77607044   37.95277406   35.23972165  121.09079837],921
11,[38.969213],[[0.01600039]],"[array([[38.97534752, 51.92099743]]), 60.55077433706827]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[7363.2204088    36.82700455   33.22853483  101.71008093],921
12,[38.90730637],[[0.02574107]],"[array([[97.83139928,  7.88837782]]), 60.128803816481756]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[7352.79003781   36.34518038   33.21478924   90.48582405],921
13,[38.82294731],[[0.04267741]],"[array([[38.80316208, 11.30179545]]), 53.99933426585487]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[20401.608267      54.36015365    57.18264145   141.75876645],921
14,[40.05380766],[[0.22703636]],"[array([[40.0608793 , 47.75749028]]), 53.685002672547725]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[23215.86292271    53.89421041    54.78221007   204.39080327],921
15,[41.32490394],[[1.40734184]],"[array([[41.31580319, 53.09503344]]), 56.17188934349987]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[22459.3017868     52.35901927    52.75764203   184.40750067],921
16,[41.61132674],[[1.80648923]],"[array([[41.64297366, 87.03098189]]), 56.311385674491156]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[22445.83224062    51.59140685    52.1089328    167.88327965],921
17,[42.14305836],[[2.66625481]],"[array([[42.13814192, 84.22262423]]), 57.19992524325602]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[22134.72001988    49.80851658    50.61155754   149.03805309],921
18,[42.46918488],[[3.26466403]],"[array([[42.45321363, 90.48230313]]), 58.454580581809616]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[21788.26450401    45.3984023     48.75860781   122.60826137],921
19,[38.41318879],[[0.18370695]],"[array([[38.38118514, 38.51119315]]), 64.63801298831467]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[14609.75070282    30.43948798    38.15607723    61.54059119],921
20,[38.75771477],[[0.05864754]],"[array([[38.76300405,  6.00979292]]), 71.27194802269139]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[11092.73208409    26.7192037     31.46831844    52.25246303],921
21,[38.74715613],[[0.06146666]],"[array([[38.76399556, 15.40239489]]), 71.30740392078751]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[10968.50816242    26.46889484    31.59100676    48.57105863],921
