,X_r,OC,KG,DL,HP_names,HP_vars,file_number
0,[36.36025817],[[2.15086368]],"[array([[54.97291841, 48.89295399]]), 69.94313501584205]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[1.41733996e+04 4.74801074e+01 3.31933115e+01 9.99771693e-03],1671
1,[46.54854886],[[13.64784797]],"[array([[45.8432513 , 55.56778874]]), 76.97683382673897]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[1.41737980e+04 4.07769971e+01 3.36695036e+01 9.73254766e-05],1671
2,[47.13493396],[[15.36194352]],"[array([[ 2.37466251, 21.53881634]]), 77.72367138052797]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[1.75932428e+04 4.50222736e+01 3.69092277e+01 1.00000000e-03],1671
3,[46.40236164],[[13.2241263]],"[array([[68.37732087, 27.01201785]]), 81.91456117292356]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[1.98101463e+04 4.69918651e+01 3.74260951e+01 1.00000000e-03],1671
4,[44.10479581],[[6.92862472]],"[array([[66.28957373, 51.09788191]]), 71.88991569886439]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[9.20340825e+03 3.42486135e+01 2.91835346e+01 1.00000000e-03],1671
5,[34.62611311],[[4.92875967]],"[array([[34.6482423 , 59.52159346]]), 61.990852055116214]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[15168.54897401    52.13680871    43.57157854   199.06276952],1671
6,[36.29563413],[[2.24043799]],"[array([[36.29827271, 73.77800196]]), 61.94799732835864]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[13262.16452618    48.47428422    38.61996881   180.74745576],1671
7,[36.41971801],[[2.06964647]],"[array([[36.41899383, 20.77654214]]), 64.23224149375201]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[13070.87439029    47.86479039    38.27521854   154.40311841],1671
